142,1,L,L,L,513.083
142,2,R,L,L,378.061
142,3,L,L,L,310.651
142,4,R,R,R,228.533
142,5,L,R,R,363.629
142,6,L,R,R,315.931
142,7,L,L,L,310.326
142,8,L,R,R,271.957
142,9,L,R,R,295.097
142,10,R,L,L,219.073
142,11,R,R,R,273.017
142,12,L,R,R,254.824
142,13,L,L,L,242.103
142,14,L,L,L,230.22
142,15,R,R,R,245.322
142,16,R,L,L,245.626
142,17,R,L,L,255.308
142,18,L,L,L,254.198
142,19,L,R,R,292.824
142,20,R,L,L,221.376
142,21,L,L,L,235.8
142,22,L,R,R,310.746
142,23,R,L,L,209.666
142,24,L,L,L,214.706
142,25,L,L,L,195.138
142,26,R,L,L,221.801
142,27,L,R,L,207.335
142,28,R,R,R,285.952
142,29,R,R,R,278.864
142,30,R,L,L,222.085
142,31,L,R,R,222.289
142,32,R,R,R,289.777
142,33,L,L,L,191.521
142,34,R,R,R,239.941
142,35,L,L,L,238.531
142,36,R,L,L,243.296
142,37,R,R,R,251.964
142,38,R,R,R,261.237
142,39,L,L,L,229.156
142,40,L,R,R,228.701
142,41,R,R,R,276.294
142,42,L,R,R,269.125
142,43,L,R,R,286.131
142,44,R,R,R,313.658
142,45,L,L,L,240.085
142,46,R,R,R,236.21
142,47,R,R,R,248.592
142,48,L,L,L,196.668
142,49,R,L,L,297.33
142,50,R,L,L,231.27
142,51,R,R,R,381.218
142,52,L,R,R,231.707
142,53,R,L,L,230.036
142,54,R,L,L,275.517
142,55,L,L,L,231.3
142,56,R,R,R,293.937
142,57,R,L,L,248.689
142,58,L,L,L,291.77
142,59,R,L,L,209.501
142,60,R,R,R,231.151
142,61,L,R,R,224.142
142,62,R,R,R,253.703
142,63,L,L,L,246.409
142,64,R,L,L,305.113
142,65,R,L,L,246.922
142,66,R,R,R,275.021
142,67,L,L,L,227.911
142,68,L,R,R,261.793
142,69,L,R,R,290.311
142,70,L,L,L,251.178
142,71,L,R,R,262.35
142,72,R,L,L,292.283
142,73,R,R,R,264.553
142,74,L,R,R,275.029
142,75,R,R,R,284.709
142,76,R,L,L,352.349
142,77,R,L,L,303.458
142,78,L,L,L,273.326
142,79,L,R,R,302.241
142,80,L,R,R,307.589
