15,1,L,L,L,542.496
15,2,R,L,L,375.758
15,3,L,L,L,253.962
15,4,R,R,R,271.497
15,5,L,R,R,220.746
15,6,L,R,R,264.546
15,7,L,L,L,205.807
15,8,L,R,R,238.762
15,9,L,R,R,340.884
15,10,R,L,L,262.54
15,11,R,R,R,271.648
15,12,L,R,R,244.644
15,13,L,L,L,278.399
15,14,L,L,L,262.055
15,15,R,R,R,240.201
15,16,R,L,L,262.603
15,17,R,L,L,214.876
15,18,L,L,L,345.624
15,19,L,R,R,243.912
15,20,R,L,L,291.379
15,21,L,L,L,276.215
15,22,L,R,R,220.009
15,23,R,L,L,214.407
15,24,L,L,L,212.462
15,25,L,L,L,323.498
15,26,R,L,L,270.919
15,27,L,R,R,202.557
15,28,R,R,R,264.402
15,29,R,R,R,249.309
15,30,R,L,L,215.184
15,31,L,R,R,299.231
15,32,R,R,R,327.154
15,33,L,L,L,237.417
15,34,R,R,R,264.387
15,35,L,L,L,273.886
15,36,R,L,L,271.132
15,37,R,R,R,223.773
15,38,R,R,R,243.765
15,39,L,L,L,278.251
15,40,L,R,R,299.812
15,41,R,R,R,347.077
15,42,L,R,R,285.332
15,43,L,R,R,288.417
15,44,R,R,R,264.635
15,45,L,L,L,280.417
15,46,R,R,R,329.331
15,47,R,R,R,366.144
15,48,L,L,L,243.072
15,49,R,L,L,288.088
15,50,R,L,L,291.821
15,51,R,R,R,281.06
15,52,L,R,R,319.903
15,53,R,L,L,379.785
15,54,R,L,L,314.232
15,55,L,L,L,286.815
15,56,R,R,R,306.07
15,57,R,L,L,263.304
15,58,L,L,L,257.08
15,59,R,L,L,340.782
15,60,R,R,R,283.271
15,61,L,R,R,314.012
15,62,R,R,R,350.901
15,63,L,L,L,255.488
15,64,R,L,L,384.53
15,65,R,L,L,397.757
15,66,R,R,R,217.045
15,67,L,L,L,299.472
15,68,L,R,R,356.251
15,69,L,R,R,392.94
15,70,L,L,L,383.622
15,71,L,R,R,311.984
15,72,R,L,L,296.369
15,73,R,R,R,337
15,74,L,R,R,336.719
15,75,R,R,R,259.047
15,76,R,L,L,384.09
15,77,R,L,L,316.125
15,78,L,L,L,253.1
15,79,L,R,R,240.223
15,80,L,R,R,246.753
