6,1,L,L,L,286.5;
6,2,R,L,L,361.138;
6,3,L,L,L,315.129;
6,4,R,R,R,280.832;
6,5,L,R,R,297.197;
6,6,L,R,R,313.475;
6,7,L,L,L,235.391;
6,8,L,R,R,323.085;
6,9,L,R,R,328.381;
6,10,R,L,L,306.63;
6,11,R,R,R,308.339;
6,12,L,R,R,243.532;
6,13,L,L,L,233.69;
6,14,L,L,L,298.393;
6,15,R,R,R,278.334;
6,16,R,L,L,327.701;
6,17,R,L,L,299.087;
6,18,L,L,L,328.153;
6,19,L,R,R,228.435;
6,20,R,L,L,323.465;
6,21,L,L,L,388.097;
6,22,L,R,R,312.64;
6,23,R,L,L,270.652;
6,24,L,L,L,304.972;
6,25,L,L,L,303.922;
6,26,R,L,L,306.953;
6,27,L,R,R,294.602;
6,28,R,R,R,342.302;
6,29,R,R,R,382.362;
6,30,R,L,L,359.01;
6,31,L,R,R,301.726;
6,32,R,R,R,343.885;
6,33,L,L,L,298.628;
6,34,R,R,R,250.951;
6,35,L,L,L,228.576;
6,36,R,L,L,322.785;
6,37,R,R,R,263.737;
6,38,R,R,R,261.792;
6,39,L,L,L,288.088;
6,40,L,R,R,285.738;
6,41,R,R,R,328.76;
6,42,L,R,R,260.007;
6,43,L,R,R,294.974;
6,44,R,R,R,249.701;
6,45,L,L,L,234.734;
6,46,R,R,R,293.039;
6,47,R,R,R,252.889;
6,48,L,L,L,210.465;
6,49,R,L,L,265.072;
6,50,R,L,L,314.339;
6,51,R,R,R,244.48;
6,52,L,R,R,307.342;
6,53,R,L,L,269.333;
6,54,R,L,L,292.581;
6,55,L,L,L,284.44;
6,56,R,R,R,257.606;
6,57,R,L,L,285.859;
6,58,L,L,L,278.506;
6,59,R,L,L,271.694;
6,60,R,R,R,242.489;
6,61,L,R,R,311.638;
6,62,R,R,R,276.064;
6,63,L,L,L,257.869;
6,64,R,L,L,299.504;
6,65,R,L,L,288.434;
6,66,R,R,R,373.9;
6,67,L,L,L,245.939;
6,68,L,R,R,277.365;
6,69,L,R,R,261.667;
6,70,L,L,L,310.466;
6,71,L,R,R,345.564;
6,72,R,L,L,317.015;
6,73,R,R,R,299.753;
6,74,L,R,R,301.54;
6,75,R,R,R,344.283;
6,76,R,L,L,318.126;
6,77,R,L,L,282.487;
6,78,L,L,L,296.869;
6,79,L,R,R,278.43;
6,80,L,R,R,294.715;
